PLANT CODE,CATEGORY MAIN,SKU CODE,WAREHOUSE_CUSTOMER,ROUTE,SUPPLIED_CASES,MAX_PRODUCTION_CAPACITY,PRODUCTION COST (INR/CASE),TOTAL_PRODUCTION_COST,TOTAL_FREIGHT_COST,TOTAL_COST
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,fMImIRydzKzSltNJ,KKPPIlXswuRGFXVC,QkwvjXHVEulRHFGE,3.3145891,21781.25,144.0,477.3008304,15985.246778742396,16462.547609142395
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,nJSPWbqdZsXrgyez,KKPPIlXswuRGFXVC,QkwvjXHVEulRHFGE,1.6572945,21781.25,144.0,238.65040799999997,15985.246778742396,16223.897186742395
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,ktWLpGDenIMMWjDK,KKPPIlXswuRGFXVC,QkwvjXHVEulRHFGE,1.2429709,21781.25,144.0,178.9878096,15985.246778742396,16164.234588342395
UbSpHthdgRKwZLMO,XXdocZuzrenKTunP,bsrVWvXwqkJpxOGI,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,3.7577636,27625.0,60.0,225.46581600000002,17410.493101709093,17635.958917709093
UbSpHthdgRKwZLMO,XXdocZuzrenKTunP,dIbXTDxYToKoQTUL,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,5.0040885,27625.0,60.0,300.24531,17410.493101709093,17710.73841170909
UbSpHthdgRKwZLMO,OhbVrpoiVgRVIfLB,STgIRweMMAGnSkEV,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,81.203396,149072.0,67.5,5481.22923,17410.493101709093,22891.722331709094
lZeYhTEkrwyVdXwe,gyrDOxkxwnQrSRPe,kyLuesPOpAMkcdLg,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,0.9074651,7884.8,67.5,61.25389425,10505.196145711661,10566.45003996166
lZeYhTEkrwyVdXwe,gyrDOxkxwnQrSRPe,rJKzFJZiBoFyMiqz,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,1.2099535,7884.8,67.5,81.67186124999999,10505.196145711661,10586.868006961662
lZeYhTEkrwyVdXwe,gyrDOxkxwnQrSRPe,aAWdpvAOYkDayebQ,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,1.2099535,7884.8,67.5,81.67186124999999,10505.196145711661,10586.868006961662
lZeYhTEkrwyVdXwe,gyrDOxkxwnQrSRPe,gDEVqaJNJHtEKCxQ,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,1.2099535,7884.8,67.5,81.67186124999999,10505.196145711661,10586.868006961662
UbSpHthdgRKwZLMO,OhbVrpoiVgRVIfLB,pSPLHiHIpyYDacLD,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,81.203396,149072.0,67.5,5481.22923,17410.493101709093,22891.722331709094
mvoHTtCmjqjdSwDd,MeyyMDHqJaRUhRIW,PVjXJdoewgOkkVBu,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,5.2469533,85000.0,60.0,314.817198,23867.54491791577,24182.36211591577
mvoHTtCmjqjdSwDd,MeyyMDHqJaRUhRIW,PYHfSYCDlLPPlwDH,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,3.148172,85000.0,60.0,188.89032,23867.54491791577,24056.435237915768
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,WKeEJmwUAmPyrcOO,KKPPIlXswuRGFXVC,QkwvjXHVEulRHFGE,4.1432364,21781.25,144.0,596.6260416,15985.246778742396,16581.872820342396
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,GeuNDIbaUDPJyhBM,KKPPIlXswuRGFXVC,QkwvjXHVEulRHFGE,1.6572945,21781.25,144.0,238.65040799999997,15985.246778742396,16223.897186742395
mvoHTtCmjqjdSwDd,MeyyMDHqJaRUhRIW,rsFmksvChKvxrKWB,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,2.6234766,85000.0,60.0,157.408596,23867.54491791577,24024.95351391577
mvoHTtCmjqjdSwDd,MeyyMDHqJaRUhRIW,IqEkDRzcqeUlIfEF,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,3.148172,85000.0,60.0,188.89032,23867.54491791577,24056.435237915768
UbSpHthdgRKwZLMO,XXdocZuzrenKTunP,rjpNOMEOCzSEumiN,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,3.7577636,27625.0,60.0,225.46581600000002,17410.493101709093,17635.958917709093
lZeYhTEkrwyVdXwe,gyrDOxkxwnQrSRPe,VhTFlXrYWDYiZFRn,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,96.957662,7884.8,67.5,6544.642185,10599.409463866345,17144.051648866345
lZeYhTEkrwyVdXwe,JsONxKmTecQoXsfo,fIoEAwnNDKWccuDI,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,9.695799,15769.6,60.0,581.74794,10599.409463866345,11181.157403866344
lZeYhTEkrwyVdXwe,JsONxKmTecQoXsfo,xvKwKNVxKXlreMSC,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,11.017953,15769.6,60.0,661.07718,10599.409463866345,11260.486643866345
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,qJfobctRpyjxPzKh,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,45.449443,133056.0,75.0,3408.7082250000003,17504.706419863774,20913.414644863777
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,QvpVPUMRpavJYfIF,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,90.898885,133056.0,75.0,6817.416375000001,17504.706419863774,24322.122794863775
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,SyksarByfbecBRSe,vxlFBnASWxxzrClK,rEmjyqmwotFfZVpE,99.988774,133056.0,75.0,7499.158050000001,17504.706419863774,25003.864469863776
